Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,13073051.045896191,13073051.04589619,0.0 
 01/01  02:00:00,14257832.358501649,14257832.358501649,0.0 
 01/01  03:00:00,12690569.95937334,12690569.95937334,0.0 
 01/01  04:00:00,12206471.442403384,12206471.442403384,0.0 
 01/01  05:00:00,14619309.82360252,14619309.82360252,0.0 
 01/01  06:00:00,12726610.355767582,12726610.355767582,0.0 
 01/01  07:00:00,13829495.784083694,13829495.784083694,0.0 
 01/01  08:00:00,13869732.24849125,13869732.248491248,0.0 
 01/01  09:00:00,8793704.749763615,8793704.749763615,0.0 
 01/01  10:00:00,8448826.608678238,8448826.608678238,0.0 
 01/01  11:00:00,7704941.295563344,7704941.295563344,0.0 
 01/01  12:00:00,7911423.331305075,7911423.3313050745,0.0 
 01/01  13:00:00,6839112.676448794,6839112.676448794,0.0 
 01/01  14:00:00,7657545.404422677,7657545.404422676,0.0 
 01/01  15:00:00,8703162.93259027,8703162.93259027,0.0 
 01/01  16:00:00,8341846.924314847,8341846.924314847,0.0 
 01/01  17:00:00,10643764.2311662,10643764.2311662,0.0 
 01/01  18:00:00,12630819.01336418,12630819.013364179,0.0 
 01/01  19:00:00,12074049.837765323,12074049.837765323,0.0 
 01/01  20:00:00,13270975.645515142,13270975.645515142,0.0 
 01/01  21:00:00,14799242.621367646,14799242.621367646,0.0 
 01/01  22:00:00,13322464.292523475,13322464.292523474,0.0 
 01/01  23:00:00,15344581.58387633,15344581.58387633,0.0 
 01/01  24:00:00,16928540.50995119,16928540.50995119,9421.65460365585 
 01/02  01:00:00,15584029.587883115,15584029.587883115,0.0 
 01/02  02:00:00,16361212.710901476,16361212.710901475,0.0 
 01/02  03:00:00,17416683.63322568,17416683.63322568,0.0 
 01/02  04:00:00,16557063.183158142,16557063.183158144,0.0 
 01/02  05:00:00,18485013.24020362,18485013.24020362,422490.3530218575 
 01/02  06:00:00,13033860.706008378,13033860.706008378,15457700.603210043 
 01/02  07:00:00,19105962.871081777,19105962.871081784,90107760.51395103 
 01/02  08:00:00,19656220.239957295,19656220.2399573,90107760.51395103 
 01/02  09:00:00,44694610.74757746,44694610.74757746,78910347.51923741 
 01/02  10:00:00,50982259.92872947,50982259.92872947,45100560.42008118 
 01/02  11:00:00,50757384.03302804,50757384.03302804,22515332.9768842 
 01/02  12:00:00,49786229.854292184,49786229.854292184,11560416.914220285 
 01/02  13:00:00,47221874.988623835,47221874.98862383,16285837.438073453 
 01/02  14:00:00,48087407.2956208,48087407.2956208,4428762.76551008 
 01/02  15:00:00,46621999.89705388,46621999.897053875,3550396.981372275 
 01/02  16:00:00,50762878.25856364,50762878.258563645,5022215.807584644 
 01/02  17:00:00,52558114.67143942,52558114.67143941,6407308.721155031 
 01/02  18:00:00,46577512.03168373,46577512.03168373,26800432.209808704 
 01/02  19:00:00,40749895.2514873,40749895.2514873,25754541.699989557 
 01/02  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/02  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/02  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/03  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  03:00:00,10588747.598861093,10588747.598861095,1081776.843609422 
 01/03  04:00:00,11141814.188538985,11141814.188538985,2165615.117162243 
 01/03  05:00:00,12327155.496059068,12327155.496059068,2623930.145645975 
 01/03  06:00:00,12002337.250022002,12002337.250022002,3118459.5351971705 
 01/03  07:00:00,19105962.871081777,19105962.871081784,87835330.45381056 
 01/03  08:00:00,19593937.667848445,19593937.667848453,90107760.51395103 
 01/03  09:00:00,28830916.343567524,28830916.343567528,78172981.71697219 
 01/03  10:00:00,43637566.001276255,43637566.00127626,26898140.200640824 
 01/03  11:00:00,46179136.86511814,46179136.86511813,7506393.605162526 
 01/03  12:00:00,45142304.1572486,45142304.157248594,3972158.668679123 
 01/03  13:00:00,42682268.41123839,42682268.41123839,7401953.941632517 
 01/03  14:00:00,41181021.4342219,41181021.43422191,876471.9494186415 
 01/03  15:00:00,38382406.11778595,38382406.117785946,507932.75059606705 
 01/03  16:00:00,39593411.872532405,39593411.87253241,856334.4154514119 
 01/03  17:00:00,43256096.64756155,43256096.647561565,1372541.0992224417 
 01/03  18:00:00,41436355.420486994,41436355.420487,14876554.286060104 
 01/03  19:00:00,37510813.87463502,37510813.874635026,10465715.791349791 
 01/03  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/03  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/03  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/04  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  07:00:00,38459695.421600185,38459695.42160018,37676327.075226754 
 01/04  08:00:00,40891992.6931725,40891992.69317249,42452811.095004246 
 01/04  09:00:00,46613478.17556819,46613478.17556819,5479907.9981866 
 01/04  10:00:00,41173850.06868386,41173850.068683855,72150.16025014443 
 01/04  11:00:00,37519420.710638106,37519420.710638106,0.0 
 01/04  12:00:00,38484058.41142489,38484058.41142489,0.0 
 01/04  13:00:00,36298142.762596175,36298142.762596175,0.0 
 01/04  14:00:00,32654720.463657536,32654720.463657536,0.0 
 01/04  15:00:00,30015516.60243848,30015516.60243848,0.0 
 01/04  16:00:00,31316685.39422845,31316685.39422845,0.0 
 01/04  17:00:00,33869251.44315617,33869251.44315617,0.0 
 01/04  18:00:00,33317153.16352105,33317153.16352105,0.0 
 01/04  19:00:00,29334716.82140176,29334716.821401764,0.0 
