Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,13073051.045857169,13073051.045857169,0.0 
 01/01  02:00:00,14257832.3584477,14257832.3584477,0.0 
 01/01  03:00:00,12690569.959334224,12690569.959334224,0.0 
 01/01  04:00:00,12206471.442374187,12206471.442374185,0.0 
 01/01  05:00:00,14619309.823547121,14619309.823547121,0.0 
 01/01  06:00:00,12726610.35573235,12726610.355732352,0.0 
 01/01  07:00:00,13829495.784055723,13829495.784055721,0.0 
 01/01  08:00:00,13869732.248438437,13869732.248438433,0.0 
 01/01  09:00:00,8793704.749735003,8793704.749735001,0.0 
 01/01  10:00:00,8448826.608658945,8448826.608658947,0.0 
 01/01  11:00:00,7704941.295545234,7704941.295545235,0.0 
 01/01  12:00:00,7911423.331287064,7911423.331287064,0.0 
 01/01  13:00:00,6839112.676439334,6839112.676439334,0.0 
 01/01  14:00:00,7657545.404405939,7657545.404405939,0.0 
 01/01  15:00:00,8703162.93257195,8703162.932571951,0.0 
 01/01  16:00:00,8341846.924298715,8341846.924298716,0.0 
 01/01  17:00:00,10643764.231133666,10643764.231133664,0.0 
 01/01  18:00:00,12630819.013334924,12630819.013334924,0.0 
 01/01  19:00:00,12074049.837739341,12074049.837739341,0.0 
 01/01  20:00:00,13270975.645457823,13270975.645457823,0.0 
 01/01  21:00:00,14799242.621317592,14799242.621317588,0.0 
 01/01  22:00:00,13322464.29248011,13322464.29248011,0.0 
 01/01  23:00:00,15344581.583786326,15344581.583786326,0.0 
 01/01  24:00:00,16928540.509678937,16928540.509678937,9421.655051536516 
 01/02  01:00:00,15584029.587838456,15584029.587838456,0.0 
 01/02  02:00:00,16361212.710835805,16361212.710835805,0.0 
 01/02  03:00:00,17416683.633173477,17416683.633173473,0.0 
 01/02  04:00:00,16557063.183108218,16557063.183108218,0.0 
 01/02  05:00:00,18485013.23974745,18485013.23974745,422490.3537616384 
 01/02  06:00:00,13033860.705840122,13033860.705840122,15457700.603347573 
 01/02  07:00:00,19105962.870836087,19105962.870836087,90107760.51395082 
 01/02  08:00:00,19656220.2397116,19656220.2397116,90107760.51395082 
 01/02  09:00:00,44694610.74667467,44694610.74667466,78910353.56705283 
 01/02  10:00:00,50982259.92758066,50982259.927580655,45100572.7989172 
 01/02  11:00:00,50757384.03430202,50757384.03430202,22515344.845305055 
 01/02  12:00:00,49786229.85640168,49786229.85640168,11560430.993962279 
 01/02  13:00:00,47221877.760802925,47221877.76080292,16285845.65735371 
 01/02  14:00:00,48087412.677873075,48087412.677873075,4428762.787685039 
 01/02  15:00:00,46622004.00857731,46622004.008577295,3550396.9937222907 
 01/02  16:00:00,50762882.29604064,50762882.29604063,5022215.827406959 
 01/02  17:00:00,52558119.931281164,52558119.93128118,6407308.740839826 
 01/02  18:00:00,46577512.03217312,46577512.03217312,26800440.33743461 
 01/02  19:00:00,40749895.25029345,40749895.25029344,25754548.172779422 
 01/02  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/02  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/02  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/03  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  03:00:00,10588747.604365442,10588747.604365444,1081776.9204620977 
 01/03  04:00:00,11141814.194984484,11141814.194984484,2165615.215254396 
 01/03  05:00:00,12327155.521949476,12327155.521949476,2623930.2734744907 
 01/03  06:00:00,12002337.26398727,12002337.26398727,3118459.6697631674 
 01/03  07:00:00,19105962.870836087,19105962.870836087,87835331.24695536 
 01/03  08:00:00,19593937.667602755,19593937.66760275,90107760.51395082 
 01/03  09:00:00,28830916.34332183,28830916.343321826,78172990.93609633 
 01/03  10:00:00,43637567.20026472,43637567.200264715,26898149.41488024 
 01/03  11:00:00,46179141.465567395,46179141.465567395,7506393.746848916 
 01/03  12:00:00,45142309.53840366,45142309.53840365,3972158.736297415 
 01/03  13:00:00,42682274.75565033,42682274.75565032,7401954.055542052 
 01/03  14:00:00,41181027.968029164,41181027.96802916,876472.0043673808 
 01/03  15:00:00,38382410.79589474,38382410.79589474,507932.80150172143 
 01/03  16:00:00,39593416.126349606,39593416.126349606,856334.4629841456 
 01/03  17:00:00,43256102.07892444,43256102.07892444,1372541.144160185 
 01/03  18:00:00,41436358.583860114,41436358.583860114,14876554.371803578 
 01/03  19:00:00,37510816.21722405,37510816.21722405,10465715.892774042 
 01/03  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/03  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/03  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/04  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  07:00:00,38459695.7141853,38459695.7141853,37676328.03924548 
 01/04  08:00:00,40891992.69204964,40891992.69204964,42452815.36757072 
 01/04  09:00:00,46613481.53250198,46613481.532501966,5479908.216477859 
 01/04  10:00:00,41173854.20536357,41173854.20536356,72150.18569171662 
 01/04  11:00:00,37519424.95460528,37519424.95460528,0.0 
 01/04  12:00:00,38484063.457543924,38484063.45754393,0.0 
 01/04  13:00:00,36298148.44891228,36298148.44891226,0.0 
 01/04  14:00:00,32654725.90655048,32654725.906550474,0.0 
 01/04  15:00:00,30015517.9602053,30015517.960205294,0.0 
