Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:15:00,6.387672E-02,3.711641E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.182498E+03,2.928239E-01,3.112335E+03,3.089798E+03,1.761955E-01,5.239147E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,8.964102E+02,1.926214E-01,2.032320E+03,1.920033E+03,1.076632E-01,3.167576E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.317621E+02,1.242950E-01,1.317362E+03,1.251701E+03,1.727104E-01,5.172991E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,8.964102E+02,1.896481E-01,1.999188E+03,1.884912E+03,1.076632E-01,3.167576E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.317621E+02,1.387485E-01,1.478416E+03,1.420537E+03
00:30:00,6.383450E-02,3.710839E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.196720E+03,2.918773E-01,3.087564E+03,3.064198E+03,1.761788E-01,5.238830E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.071916E+02,1.904905E-01,1.997794E+03,1.883837E+03,1.076542E-01,3.167406E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.381577E+02,1.227781E-01,1.294064E+03,1.227355E+03,1.726936E-01,5.172673E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.071916E+02,1.875705E-01,1.965257E+03,1.849328E+03,1.076542E-01,3.167406E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.381577E+02,1.366474E-01,1.448609E+03,1.389486E+03
00:45:00,6.379271E-02,3.710046E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.210943E+03,2.909644E-01,3.063171E+03,3.038991E+03,1.761623E-01,5.238517E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.179730E+02,1.884203E-01,1.963945E+03,1.848335E+03,1.076454E-01,3.167237E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.445534E+02,1.213001E-01,1.271200E+03,1.203447E+03,1.726770E-01,5.172357E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.179730E+02,1.855545E-01,1.932012E+03,1.814438E+03,1.076454E-01,3.167237E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.445534E+02,1.346369E-01,1.419810E+03,1.359470E+03
01:00:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.225165E+03,2.900810E-01,3.039105E+03,3.014124E+03,1.761459E-01,5.238206E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.287544E+02,1.864066E-01,1.930726E+03,1.813475E+03,1.076366E-01,3.167071E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.509491E+02,1.198603E-01,1.248761E+03,1.179973E+03,1.726606E-01,5.172045E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.287544E+02,1.835973E-01,1.899421E+03,1.780221E+03,1.076366E-01,3.167071E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.509491E+02,1.327076E-01,1.391917E+03,1.330383E+03
01:15:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.234647E+03,2.892238E-01,3.020072E+03,2.994393E+03,1.761297E-01,5.237899E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.359420E+02,1.844738E-01,1.902001E+03,1.783248E+03,1.076279E-01,3.166906E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.552128E+02,1.184738E-01,1.229047E+03,1.159303E+03,1.726443E-01,5.171737E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.359420E+02,1.817224E-01,1.871343E+03,1.750657E+03,1.076279E-01,3.166906E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.552128E+02,1.308687E-01,1.367162E+03,1.304525E+03
01:30:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.244128E+03,2.883904E-01,3.001304E+03,2.974937E+03,1.761138E-01,5.237596E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.431296E+02,1.826190E-01,1.874147E+03,1.753931E+03,1.076193E-01,3.166743E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.594766E+02,1.171389E-01,1.209909E+03,1.139233E+03,1.726282E-01,5.171431E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.431296E+02,1.799272E-01,1.844152E+03,1.722026E+03,1.076193E-01,3.166743E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.594766E+02,1.291137E-01,1.343343E+03,1.279634E+03
01:45:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.253610E+03,2.875975E-01,2.982988E+03,2.955982E+03,1.761158E-01,5.237635E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.503172E+02,1.808424E-01,1.847162E+03,1.725523E+03,1.076204E-01,3.166765E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.637404E+02,1.158540E-01,1.191328E+03,1.119737E+03,1.726303E-01,5.171470E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.503172E+02,1.782117E-01,1.817848E+03,1.694324E+03,1.076204E-01,3.166765E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.637404E+02,1.274374E-01,1.320401E+03,1.255647E+03
02:00:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.263091E+03,2.868251E-01,2.964900E+03,2.937264E+03,1.761178E-01,5.237673E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.575048E+02,1.791292E-01,1.820885E+03,1.697848E+03,1.076216E-01,3.166786E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.680042E+02,1.146098E-01,1.173200E+03,1.100705E+03,1.726323E-01,5.171508E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.575048E+02,1.765568E-01,1.792221E+03,1.667318E+03,1.076216E-01,3.166786E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.680042E+02,1.258288E-01,1.298213E+03,1.232437E+03
02:15:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.270202E+03,2.860723E-01,2.949400E+03,2.921189E+03,1.761198E-01,5.237710E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.628955E+02,1.774926E-01,1.797258E+03,1.672919E+03,1.076227E-01,3.166807E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.712020E+02,1.134183E-01,1.156726E+03,1.083385E+03,1.726343E-01,5.171546E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.628955E+02,1.749817E-01,1.769280E+03,1.643101E+03,1.076227E-01,3.166807E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.712020E+02,1.242928E-01,1.277899E+03,1.211163E+03
02:30:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.277313E+03,2.853387E-01,2.934114E+03,2.905338E+03,1.761217E-01,5.237747E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.682862E+02,1.759317E-01,1.774475E+03,1.648895E+03,1.076238E-01,3.166827E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.743998E+02,1.122776E-01,1.140818E+03,1.066666E+03,1.726363E-01,5.171583E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.682862E+02,1.734832E-01,1.747191E+03,1.619800E+03,1.076238E-01,3.166827E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.743998E+02,1.228265E-01,1.258363E+03,1.190703E+03
02:45:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.284424E+03,2.846237E-01,2.919036E+03,2.889703E+03,1.761237E-01,5.237784E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.736769E+02,1.744189E-01,1.752227E+03,1.625415E+03,1.076248E-01,3.166848E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.775977E+02,1.111707E-01,1.125285E+03,1.050328E+03,1.726382E-01,5.171620E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.736769E+02,1.720335E-01,1.725647E+03,1.597053E+03,1.076248E-01,3.166848E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.775977E+02,1.214113E-01,1.239396E+03,1.170825E+03
03:00:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.291536E+03,2.839268E-01,2.904161E+03,2.874280E+03,1.761255E-01,5.237820E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.790676E+02,1.729545E-01,1.730519E+03,1.602493E+03,1.076259E-01,3.166868E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.807955E+02,1.100975E-01,1.110129E+03,1.034378E+03,1.726401E-01,5.171656E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.790676E+02,1.706321E-01,1.704641E+03,1.574865E+03,1.076259E-01,3.166868E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.807955E+02,1.200455E-01,1.220978E+03,1.151512E+03
03:15:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.298647E+03,2.832475E-01,2.889480E+03,2.859061E+03,1.761274E-01,5.237855E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.844583E+02,1.715374E-01,1.709338E+03,1.580124E+03,1.076269E-01,3.166888E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.839933E+02,1.090575E-01,1.095342E+03,1.018811E+03,1.726420E-01,5.171692E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.844583E+02,1.692780E-01,1.684161E+03,1.553229E+03,1.076269E-01,3.166888E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.839933E+02,1.187268E-01,1.203087E+03,1.132744E+03
03:30:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.305758E+03,2.825850E-01,2.874987E+03,2.844038E+03,1.761293E-01,5.237890E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.898490E+02,1.701665E-01,1.688672E+03,1.558301E+03,1.076279E-01,3.166907E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.871912E+02,1.080497E-01,1.080915E+03,1.003624E+03,1.726438E-01,5.171727E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.898490E+02,1.679698E-01,1.664194E+03,1.532138E+03,1.076279E-01,3.166907E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.871912E+02,1.174534E-01,1.185699E+03,1.114503E+03
03:45:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.312869E+03,2.819385E-01,2.860673E+03,2.829202E+03,1.761311E-01,5.237925E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.952397E+02,1.688265E-01,1.668350E+03,1.536829E+03,1.076290E-01,3.166926E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.903890E+02,1.070650E-01,1.066745E+03,9.886974E+02,1.726456E-01,5.171762E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.952397E+02,1.666924E-01,1.644570E+03,1.511397E+03,1.076290E-01,3.166926E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.903890E+02,1.162149E-01,1.168701E+03,1.096659E+03
04:00:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.319980E+03,2.813072E-01,2.846526E+03,2.814542E+03,1.761329E-01,5.237959E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.000630E+03,1.675163E-01,1.648360E+03,1.515698E+03,1.076300E-01,3.166945E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.935868E+02,1.061024E-01,1.052821E+03,9.740242E+02,1.726475E-01,5.171796E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.000630E+03,1.654443E-01,1.625271E+03,1.490992E+03,1.076300E-01,3.166945E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.935868E+02,1.150096E-01,1.152073E+03,1.079196E+03
04:15:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.324721E+03,2.806899E-01,2.834908E+03,2.802462E+03,1.761346E-01,5.237992E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.004224E+03,1.662483E-01,1.630637E+03,1.496906E+03,1.076309E-01,3.166964E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.957187E+02,1.051694E-01,1.040292E+03,9.607878E+02,1.726492E-01,5.171830E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.004224E+03,1.642376E-01,1.608232E+03,1.472916E+03,1.076309E-01,3.166964E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.957187E+02,1.138440E-01,1.136953E+03,1.063284E+03
04:30:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.329462E+03,2.800861E-01,2.823439E+03,2.790538E+03,1.761364E-01,5.238026E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.007818E+03,1.650207E-01,1.613364E+03,1.478583E+03,1.076319E-01,3.166982E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.978506E+02,1.042647E-01,1.028080E+03,9.478790E+02,1.726510E-01,5.171863E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.007818E+03,1.630706E-01,1.591634E+03,1.455304E+03,1.076319E-01,3.166982E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.978506E+02,1.127162E-01,1.122254E+03,1.047807E+03
04:45:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.334202E+03,2.794949E-01,2.812111E+03,2.778763E+03,1.761381E-01,5.238058E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.011412E+03,1.638324E-01,1.596529E+03,1.460715E+03,1.076329E-01,3.167000E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.999825E+02,1.033876E-01,1.016174E+03,9.352872E+02,1.726527E-01,5.171896E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.011412E+03,1.619421E-01,1.575466E+03,1.438138E+03,1.076329E-01,3.167000E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.999825E+02,1.116247E-01,1.107960E+03,1.032747E+03
05:00:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.338943E+03,2.789293E-01,2.801068E+03,2.767306E+03,1.761398E-01,5.238091E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.015006E+03,1.628128E-01,1.581575E+03,1.445012E+03,1.076338E-01,3.167018E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,6.021144E+02,1.030108E-01,1.009844E+03,9.291639E+02,1.726544E-01,5.171929E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.015006E+03,1.612871E-01,1.564573E+03,1.427163E+03,1.076338E-01,3.167018E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,6.021144E+02,1.106448E-01,1.094909E+03,1.019076E+03
05:15:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.334202E+03,2.784419E-01,2.800377E+03,2.766505E+03,1.761415E-01,5.238123E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.011412E+03,1.620715E-01,1.576908E+03,1.440081E+03,1.076347E-01,3.167036E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.999825E+02,1.039955E-01,1.022947E+03,9.444659E+02,1.726561E-01,5.171961E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.011412E+03,1.616365E-01,1.572059E+03,1.436161E+03,1.076347E-01,3.167036E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.999825E+02,1.098461E-01,1.088141E+03,1.011947E+03
05:30:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.329462E+03,2.781168E-01,2.801496E+03,2.767708E+03,1.761432E-01,5.238154E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.007818E+03,1.616971E-01,1.576329E+03,1.439589E+03,1.076357E-01,3.167053E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.978506E+02,1.071866E-01,1.060634E+03,9.864746E+02,1.726578E-01,5.171992E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.007818E+03,1.630973E-01,1.591928E+03,1.458338E+03,1.076357E-01,3.167053E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.978506E+02,1.092834E-01,1.084002E+03,1.007615E+03
05:45:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.324721E+03,2.780300E-01,2.805268E+03,2.771741E+03,1.761448E-01,5.238185E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.004224E+03,1.617489E-01,1.580499E+03,1.444199E+03,1.076366E-01,3.167071E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.957187E+02,1.125937E-01,1.123012E+03,1.053643E+03,1.726594E-01,5.172024E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.004224E+03,1.653026E-01,1.620092E+03,1.488535E+03,1.076366E-01,3.167071E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.957187E+02,1.089803E-01,1.082757E+03,1.006320E+03
06:00:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.319980E+03,2.782336E-01,2.812277E+03,2.779146E+03,1.761464E-01,5.238216E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.000630E+03,1.622853E-01,1.590069E+03,1.454634E+03,1.076375E-01,3.167088E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.935868E+02,1.203715E-01,1.211803E+03,1.147475E+03,1.726611E-01,5.172054E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,1.000630E+03,1.682542E-01,1.656571E+03,1.527471E+03,1.076375E-01,3.167088E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.935868E+02,1.089518E-01,1.084570E+03,1.008250E+03
06:15:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.303387E+03,2.787571E-01,2.834701E+03,2.802338E+03,1.761480E-01,5.238246E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.880521E+02,1.634034E-01,1.615103E+03,1.481331E+03,1.076383E-01,3.167105E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.861252E+02,1.305232E-01,1.332373E+03,1.273517E+03,1.726627E-01,5.172085E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.880521E+02,1.718850E-01,1.709603E+03,1.583979E+03,1.076383E-01,3.167105E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.861252E+02,1.092405E-01,1.095247E+03,1.019432E+03
06:30:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.286795E+03,2.795895E-01,2.860568E+03,2.829134E+03,1.761496E-01,5.238276E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.754738E+02,1.649930E-01,1.645392E+03,1.513655E+03,1.076392E-01,3.167121E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.786636E+02,1.424314E-01,1.472515E+03,1.419010E+03,1.726643E-01,5.172115E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.754738E+02,1.753833E-01,1.761158E+03,1.638619E+03,1.076392E-01,3.167121E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.786636E+02,1.097748E-01,1.108661E+03,1.033532E+03
06:45:00,6.375451E-02,3.709321E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.270202E+03,2.806590E-01,2.889076E+03,2.858705E+03,1.761512E-01,5.238306E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.628955E+02,1.669004E-01,1.679223E+03,1.549621E+03,1.076401E-01,3.167137E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.712020E+02,1.552904E-01,1.623252E+03,1.574762E+03,1.726658E-01,5.172145E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.628955E+02,1.781440E-01,1.804496E+03,1.684140E+03,1.076401E-01,3.167137E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.712020E+02,1.105155E-01,1.124376E+03,1.050084E+03
07:00:00,6.375508E-02,3.709332E+03,6.375451E-02,0.000000E+00,0.000000E+00,6.375451E-02,1.253610E+03,2.818476E-01,2.918911E+03,2.889648E+03,1.761527E-01,5.238335E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.503172E+02,1.691588E-01,1.716963E+03,1.589824E+03,1.076409E-01,3.167154E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.637404E+02,1.678872E-01,1.771069E+03,1.726409E+03,1.726674E-01,5.172174E+03,4.833005E-02,0.000000E+00,0.000000E+00,4.833005E-02,9.503172E+02,1.799358E-01,1.837040E+03,1.717848E+03,1.076409E-01,3.167154E+03,2.867001E-02,0.000000E+00,0.000000E+00,2.867001E-02,5.637404E+02,1.114228E-01,1.141946E+03,1.068579E+03
