Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,13070283.162390996,13070283.162390996,0.0 
 01/01  02:00:00,14254204.989725951,14254204.98972595,0.0 
 01/01  03:00:00,12687637.654832833,12687637.654832833,0.0 
 01/01  04:00:00,12203711.372219397,12203711.372219399,0.0 
 01/01  05:00:00,14615846.002432076,14615846.002432073,0.0 
 01/01  06:00:00,12723536.86188962,12723536.861889623,0.0 
 01/01  07:00:00,13826467.070551082,13826467.070551082,0.0 
 01/01  08:00:00,13865922.809996182,13865922.80999618,0.0 
 01/01  09:00:00,8791903.217792101,8791903.217792101,0.0 
 01/01  10:00:00,8446868.824331539,8446868.824331539,0.0 
 01/01  11:00:00,7703592.187407621,7703592.18740762,0.0 
 01/01  12:00:00,7909753.097053673,7909753.097053672,0.0 
 01/01  13:00:00,6838101.434044973,6838101.434044973,0.0 
 01/01  14:00:00,7656117.496287996,7656117.496287994,0.0 
 01/01  15:00:00,8700719.47518234,8700719.475182338,0.0 
 01/01  16:00:00,8339678.315175967,8339678.315175969,0.0 
 01/01  17:00:00,10641313.442124004,10641313.442124004,0.0 
 01/01  18:00:00,12627727.727544846,12627727.727544844,0.0 
 01/01  19:00:00,12071685.05905045,12071685.059050448,0.0 
 01/01  20:00:00,13268499.799320625,13268499.799320625,0.0 
 01/01  21:00:00,14795828.028878944,14795828.028878942,0.0 
 01/01  22:00:00,13319417.278415123,13319417.278415123,0.0 
 01/01  23:00:00,15341565.604352543,15341565.604352541,0.0 
 01/01  24:00:00,16926493.317154247,16926493.317154247,7444.485468253232 
 01/02  01:00:00,15580899.396457393,15580899.396457393,0.0 
 01/02  02:00:00,16358039.443958912,16358039.443958912,0.0 
 01/02  03:00:00,17412697.258046433,17412697.258046433,0.0 
 01/02  04:00:00,16553892.40799862,16553892.40799862,0.0 
 01/02  05:00:00,18483559.989241797,18483559.989241797,418956.31967414013 
 01/02  06:00:00,13035086.051193617,13035086.051193615,15448382.170824757 
 01/02  07:00:00,19107690.076178685,19107690.076178685,90107078.06760614 
 01/02  08:00:00,19657947.445054207,19657947.445054207,90107078.06760614 
 01/02  09:00:00,44700957.23868215,44700957.23868214,78887610.63164324 
 01/02  10:00:00,50990335.86269088,50990335.86269087,45066421.72886464 
 01/02  11:00:00,50764498.101302594,50764498.10130259,22486135.67086568 
 01/02  12:00:00,49792338.650109015,49792338.65010901,11535203.507155545 
 01/02  13:00:00,47224483.01286163,47224483.012861624,16268511.016551988 
 01/02  14:00:00,48089974.22249727,48089974.22249726,4415154.787762091 
 01/02  15:00:00,46621219.7374464,46621219.7374464,3543232.941874946 
 01/02  16:00:00,50765862.05630119,50765862.05630119,5008459.158990588 
 01/02  17:00:00,52562290.95637962,52562290.95637962,6393531.637981608 
 01/02  18:00:00,46583968.00734763,46583968.00734763,26779002.46200572 
 01/02  19:00:00,40758287.82331335,40758287.82331334,25728351.85504487 
 01/02  20:00:00,10883935.25418148,10883935.25418148,0.0 
 01/02  21:00:00,9899331.821026983,9899331.82102698,0.0 
 01/02  22:00:00,9899331.821026983,9899331.82102698,0.0 
 01/02  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/02  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/03  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  03:00:00,10588770.068255283,10588770.068255283,1078034.6956315872 
 01/03  04:00:00,11141986.326023182,11141986.326023184,2160597.077496368 
 01/03  05:00:00,12326561.673958432,12326561.673958434,2617180.6854254333 
 01/03  06:00:00,12002346.271664819,12002346.271664819,3111078.436602867 
